CLAVE SITIO,NOMBRE DEL SITIO,CUENCA,CLAVE ACUÍFERO,ACUÍFERO,ORGANISMO CUENCA,DIRECCIÓN LOCAL,ESTADO,MUNICIPIO,CUERPO DE AGUA,TIPO DE CUERPO DE AGUA,SUBTIPO CUERPO AGUA,LATITUD,LONGITUD
DLTAB2413,LA PARRILLA 1,PICHUCALCO,,,FRONTERA SUR,TABASCO,TABASCO,CENTRO,RIO PICHUCALCO,LÓTICO,RÍO,17.89653,-92.94749
DLTAB2414,LA PARRILLA 2,PICHUCALCO,,,FRONTERA SUR,TABASCO,TABASCO,CENTRO,RIO PICHUCALCO,LÓTICO,RÍO,17.91355,-92.94714
DLTAB2415,LA PARRILLA 4,PICHUCALCO,,,FRONTERA SUR,TABASCO,TABASCO,CENTRO,LAGUNA HUAPINOL,LÉNTICO,LAGO,17.92881,-92.9158
DLTAB2416,RIO CARRIZAL 3,EL CARRIZAL,,,FRONTERA SUR,TABASCO,TABASCO,CENTRO,RIO CARRIZAL,LÓTICO,RÍO,18.02101,-92.93993
DLTAB2417,"FRIGORIFICO Y EMPACADORA DE TABASCO, S.A. DE C.V.",EL CARRIZAL,,,FRONTERA SUR,TABASCO,TABASCO,CENTRO,RIO CARRIZAL,LÓTICO,RÍO,17.99541,-92.96818
DLTAB2418,SAPAET LAZARO CARDENAS,,2703,SAMARIA-CUNDUACAN,FRONTERA SUR,TABASCO,TABASCO,CENTRO,ACUÍFERO SAMARIA-CUNDUACAN,SUBTERRÁNEO,POZO,17.9944,-93.00783
DLTAB2419,RIO CARRIZAL 1,EL CARRIZAL,,,FRONTERA SUR,TABASCO,TABASCO,CENTRO,RIO CARRIZAL,LÓTICO,RÍO,17.95883,-93.12144
DLTAB2420,RIO SAMARIA 5,SAMARÍA,,,FRONTERA SUR,TABASCO,TABASCO,CUNDUACÁN,RIO SAMARIA,LÓTICO,RÍO,18.01837,-93.04374
DLTAB2420M1,RIO SAMARIA 5,Samaría,,,FRONTERA SUR,TABASCO,TABASCO,CUNDUACAN,RIO SAMARIA,LÓTICO,RÍO,18.01837,-93.04374
DLTAB2421,RIO SAMARIA 8,SAMARÍA,,,FRONTERA SUR,TABASCO,TABASCO,CUNDUACÁN,RIO SAMARIA,LÓTICO,RÍO,18.01558,-93.08961
